date,TOTAL_PRECIP,T_MEAN,dengue,sintomas dengue,dolor de cabeza,migrana,dolor muscular,dolor ojos,nauseas,vomito,mosquito,picadura mosquito,mosquito dengue,dengue hemorragico,mosquitos,dolor huesos,dolor articulaciones,brote,fiebre,hemorragia,cases,Rt
2008-01-06,99.5537739991731,21.407059395295548,14.142857142857142,32.857142857142854,15.428571428571429,19.142857142857142,14.285714285714286,0.0,6.714285714285714,24.285714285714285,14.285714285714286,0.0,15.714285714285714,42.42857142857143,14.285714285714286,23.571428571428573,0.0,14.285714285714286,15.571428571428571,14.285714285714286,110.42857142857143,0.99999999996256
2008-01-13,99.5537739991731,21.407059395295548,23.857142857142858,8.285714285714286,18.571428571428573,17.0,14.142857142857142,24.428571428571427,14.285714285714286,14.285714285714286,20.428571428571427,24.428571428571427,0.0,7.857142857142857,19.714285714285715,11.285714285714286,32.142857142857146,4.571428571428571,41.0,11.857142857142858,114.0,0.999999999999977
2008-01-20,99.5537739991731,21.407059395295548,3.4285714285714284,7.428571428571429,12.142857142857142,7.857142857142857,4.857142857142857,25.428571428571427,2.4285714285714284,19.428571428571427,0.0,25.428571428571427,0.0,10.0,0.0,14.285714285714286,23.571428571428573,0.0,25.428571428571427,9.857142857142858,144.71428571428572,1.0
2008-01-27,99.5537739991731,21.407059395295548,21.285714285714285,6.714285714285714,9.714285714285714,6.714285714285714,5.285714285714286,22.857142857142858,0.0,0.0,0.0,22.857142857142858,25.428571428571427,11.857142857142858,13.0,21.428571428571427,10.0,2.857142857142857,5.571428571428571,3.857142857142857,133.71428571428572,0.999999999999778
2008-02-03,109.34918785503665,21.60247126172766,15.142857142857142,0.0,17.0,11.428571428571429,4.857142857142857,0.0,0.0,0.0,17.714285714285715,0.0,26.857142857142858,0.0,13.428571428571429,24.428571428571427,29.285714285714285,13.714285714285714,21.428571428571427,10.285714285714286,131.42857142857142,0.999999999138603
2008-02-10,109.34918785503665,21.60247126172766,8.142857142857142,16.857142857142858,6.285714285714286,11.0,4.571428571428571,10.714285714285714,14.285714285714286,14.142857142857142,14.285714285714286,10.714285714285714,23.428571428571427,0.0,9.571428571428571,14.285714285714286,5.0,19.0,6.714285714285714,14.285714285714286,126.85714285714286,0.999794958147756
2008-02-17,109.34918785503665,21.60247126172766,3.4285714285714284,5.428571428571429,4.571428571428571,18.714285714285715,17.571428571428573,0.0,17.285714285714285,0.0,12.142857142857142,0.0,0.0,14.285714285714286,0.0,12.285714285714286,15.285714285714286,10.285714285714286,28.857142857142858,15.714285714285714,116.42857142857143,0.948275497656255
2008-02-24,109.34918785503665,21.60247126172766,18.714285714285715,10.285714285714286,8.857142857142858,3.7142857142857144,7.714285714285714,25.857142857142858,0.0,14.285714285714286,3.5714285714285716,25.857142857142858,3.7142857142857144,21.285714285714285,5.857142857142857,6.428571428571429,14.285714285714286,0.0,12.0,3.5714285714285716,115.0,0.800668062139504
2008-03-02,143.01956443681564,21.662085316975052,11.428571428571429,14.285714285714286,7.0,4.714285714285714,5.0,0.0,0.0,6.142857142857143,4.0,0.0,0.0,19.857142857142858,29.285714285714285,4.428571428571429,12.857142857142858,9.857142857142858,18.0,25.0,115.57142857142857,0.735327019645072
2008-03-09,143.01956443681564,21.662085316975052,8.571428571428571,11.0,10.571428571428571,21.571428571428573,11.714285714285714,14.285714285714286,0.0,8.857142857142858,0.0,14.285714285714286,5.714285714285714,0.0,10.571428571428571,0.0,0.0,9.571428571428571,12.857142857142858,0.0,113.28571428571429,0.779230576083243
