Date,Dpto,Dengue,Dengue_grave,Mortalidad_por_dengue,max_temperature,mean_temperature,min_temperature,mean_rain
2007-01-07,5,0.5,0.5,0.0,37.85,26.188996726755,4.69000000000005,20.05020896514324
2007-01-07,8,36.5,2.5,0.0,38.79,32.6486919653001,25.27,0.6367684912282021
2007-01-07,11,0.0,0.0,0.0,33.11,21.2900529712154,7.75000000000005,2.755864607794809
2007-01-07,13,2.5,1.0,0.0,40.09,30.0127994353828,14.59,4.231950647672137
2007-01-07,15,1.5,0.5,0.0,38.01,25.2155046641805,4.77000000000003,6.99038012195613
2007-01-07,17,6.5,0.0,0.0,34.89,24.387084628986,6.93,12.260256179878532
2007-01-07,18,1.5,1.0,0.0,38.13,27.1959413181479,5.49,7.426211133531999
2007-01-07,19,1.0,0.5,0.0,34.43,21.9362433857644,1.13000000000005,22.13419969395427
2007-01-07,20,6.0,1.5,0.0,40.77,29.2401361274083,5.63000000000005,2.6126614205803
2007-01-07,23,2.5,1.0,0.0,38.87,29.9320079822362,12.63,7.063517930507654
2007-01-07,25,9.0,0.5,0.0,37.35,25.0251978783014,7.75000000000005,5.457072717402708
2007-01-07,27,0.0,0.0,0.0,34.97,25.5031494906793,6.39000000000004,50.23953886226391
2007-01-07,41,36.5,13.0,0.0,42.61,24.3219525138492,1.13000000000005,3.9012316197532138
2007-01-07,44,0.5,0.5,0.0,39.81,30.2809038181836,8.69000000000005,1.1956122251253367
2007-01-07,47,3.5,2.0,0.0,40.09,31.3335871730008,5.63000000000005,1.1050593706710898
2007-01-07,50,10.5,0.5,0.0,39.31,28.8485976939976,5.93,2.732157942968556
2007-01-07,52,0.0,0.0,0.0,39.97,22.0491905432592,0.83000000000004,25.32690450444132
2007-01-07,54,57.5,9.5,0.0,38.07,25.9007760697041,6.37,5.017550891895026
2007-01-07,63,24.0,0.0,0.0,30.99,21.6075071839705,8.77000000000003,5.945497823136885
2007-01-07,66,8.0,0.0,0.0,34.19,23.2665681375691,8.37,16.790845663220008
2007-01-07,68,61.0,17.5,0.0,38.01,26.0030797662848,9.03000000000003,8.148563166244445
2007-01-07,70,14.0,4.0,0.0,38.87,31.5352561639209,24.95,0.9127628669625194
2007-01-07,73,24.0,1.0,0.0,42.61,24.8126731325164,1.99,5.894021328497867
2007-01-07,76,5.0,0.5,0.0,38.09,23.783903368,1.99,55.73970674698043
2007-01-07,81,4.5,0.5,0.0,38.35,29.2479932643468,4.77000000000003,1.4445698201793888
2007-01-07,85,9.5,0.0,0.0,39.53,30.5558874112579,5.53000000000003,1.3525971245957469
2007-01-07,86,2.5,0.0,0.0,34.45,27.4064371791265,7.17000000000001,6.0609569529624805
2007-01-07,88,1.5,0.0,0.0,28.09,25.859219858156,22.85,6.688643614678208
2007-01-07,91,0.0,0.0,0.0,35.29,26.6021603140387,0.79000000000002,43.17278419957204
2007-01-07,94,0.0,0.0,0.0,39.47,28.0473707193853,9.69000000000005,16.02746043184649
2007-01-07,95,0.5,0.0,0.0,37.87,27.2891798456013,12.31,13.29803427727535
2007-01-07,97,0.0,0.0,0.0,35.41,27.2212072916568,12.31,41.43731086594506
2007-01-07,99,0.5,0.0,0.0,41.43,30.4754580195082,19.57,3.110071778326469
2007-01-14,5,0.0,0.0,0.0,39.21,27.5714196066169,5.37,10.063120037396388
2007-01-14,8,23.0,4.0,0.0,40.11,32.6716991583098,24.65,0.4964794857142216
2007-01-14,11,0.0,0.0,0.0,34.87,20.9378675538718,3.63000000000005,4.738413281808486
2007-01-14,13,4.0,4.0,0.0,41.07,31.0503529887394,9.03000000000003,2.166674660229676
2007-01-14,15,2.0,0.0,0.0,41.79,24.982026830909,-9.54999999999995,6.151842385505691
2007-01-14,17,8.0,0.0,0.0,34.07,24.0525156463032,-0.369999999999947,14.46867966625052
2007-01-14,18,2.0,1.0,0.0,40.03,27.7280646340139,0.750000000000056,13.531378235435884
2007-01-14,19,3.0,1.0,0.0,35.29,22.6920637625512,-1.26999999999998,26.35601247655229
2007-01-14,20,18.0,1.0,0.0,41.29,29.8126235980491,5.51000000000004,2.598244140188649
2007-01-14,23,5.0,3.0,0.0,40.31,31.853571975484,13.77,2.089362418682606
2007-01-14,25,11.0,3.0,0.0,39.69,24.9640177758927,3.63000000000005,5.23119000787604
2007-01-14,27,0.0,0.0,0.0,37.81,25.7814450809342,7.61000000000001,26.49044186058834
2007-01-14,41,48.0,17.0,0.0,42.39,25.2983457775932,0.750000000000056,5.994866924962659
2007-01-14,44,3.0,0.0,0.0,42.77,29.5830571572893,7.89000000000004,1.2344607168237485
2007-01-14,47,3.0,1.0,0.0,41.29,31.6793304510585,5.51000000000004,1.218349110729678
2007-01-14,50,27.0,5.0,0.0,44.05,29.7694419707228,3.63000000000005,2.6224274231874087
2007-01-14,52,3.0,0.0,0.0,39.27,22.9057068894522,-1.26999999999998,34.2460659798089
2007-01-14,54,76.0,13.0,0.0,40.45,25.4923355162007,3.13000000000005,9.25957213653176
2007-01-14,63,38.0,0.0,0.0,31.25,19.905966807525,4.61000000000001,6.049912987249239
2007-01-14,66,14.0,0.0,0.0,33.51,23.0094803150557,3.33000000000004,18.04497662828835
2007-01-14,68,60.0,25.0,0.0,39.63,25.8861089060459,4.05000000000001,7.113757448622483
2007-01-14,70,16.0,2.0,0.0,40.31,32.4942067324963,25.47,0.8377310585044223
2007-01-14,73,24.0,4.0,0.0,42.39,24.778024254367,-0.369999999999947,8.675457276837113
2007-01-14,76,5.0,0.0,0.0,37.71,23.6166756811017,4.51000000000004,33.80283630484491
